Brand,Model,Release_Year,Category,Price_USD,Screen_Size_Inches,Processor_Type,RAM_GB,Storage_GB,OS,Battery_Capacity_mAh,Typical_Capacity_mAh,Rated_Capacity_mAh,Battery_Life_Hours,Standby_Time_Hours,Talk_Time_Hours,Video_Playback_Hours,Web_Browsing_Hours,Music_Playback_Hours,Gaming_Test_Hours,Usage_Scenario,Battery_Endurance_Rating,Battery_Type,Removable_Battery,Charging_Time_0_to_100,Charging_Time_0_to_50,Charging_Wattage,Charging_Technology,Fast_Charging_Supported,Fast_Charging_Tech,Wireless_Charging,Wireless_Charging_Wattage,Reverse_Wireless_Charging,Battery_Health_Percentage,Cycle_Count,Temperature_While_Charging_C,Discharge_Rate_mAh_per_hour,Idle_Discharge_Per_Hour,Thermal_Throttling_Effect,Battery_Saver_Mode_Available,Battery_Saver_Mode_Effect,Power_Consumption_Watt,Efficiency_Score,Refresh_Rate_Hz
Xiaomi,Xiaomi Pro18,2018,Flagship,107.62,5.5,Snapdragon 778G,4,64,Android 11,5000,5032,4940,5.9,660,23,13.3,18.0,87,4.5,Gaming,93h,Li-Po,No,89,44,25,SuperVOOC,Yes,SuperVOOC,Yes,15,No,100,329,36.3,498.3,10.4,No,Yes,0.34,2.53,0.0012,144
OnePlus,OnePlus X22,2018,Midrange,493.91,6.4,Exynos 2100,4,512,Android 13,6000,6003,5998,14.5,574,16,16.8,15.4,54,3.3,Browsing,116h,Li-Po,Yes,102,25,33,Turbo Charge,Yes,Turbo Charge,No,10,No,94,26,34.2,214.9,11.0,No,Yes,0.39,3.92,0.0024,144
Motorola,Motorola S21,2018,Budget,639.55,6.7,Snapdragon 8 Gen 1,8,512,Android 14,3000,3013,2902,11.9,682,37,10.4,16.7,86,4.1,Video,113h,Li-Ion,No,102,44,65,Turbo Charge,Yes,Turbo Charge,Yes,20,Yes,95,355,42.5,207.8,6.6,No,Yes,0.13,5.73,0.004,144
Apple,Apple A12,2019,Flagship,1415.95,6.5,MediaTek Dimensity 9200,16,256,iOS 15,4000,4067,3986,7.9,668,26,11.3,8.9,94,7.2,Browsing,109h,Li-Ion,Yes,37,58,18,VOOC,Yes,VOOC,Yes,10,No,96,596,40.1,460.8,16.0,No,No,0.39,3.36,0.002,60
Oppo,Oppo Pro8,2021,Midrange,548.89,6.5,Snapdragon 778G,4,64,iOS 16,3500,3534,3459,6.8,626,30,14.2,14.7,55,9.2,Gaming,123h,Li-Po,Yes,63,60,25,Quick Charge 4.0,Yes,Quick Charge 4.0,No,0,No,91,569,30.8,244.9,18.0,Yes,No,0.14,5.33,0.0019,60
Xiaomi,Xiaomi Pro4,2018,Flagship,683.24,6.8,Snapdragon 778G,6,512,Android 12,3000,3002,2913,6.6,685,32,13.0,14.4,57,9.9,Video,85h,Li-Po,Yes,106,16,120,Warp Charge,Yes,Warp Charge,No,15,Yes,94,279,35.4,227.0,10.6,Yes,Yes,0.14,6.95,0.0022,144
Asus,Asus A17,2021,Midrange,1062.76,5.5,Apple A15 Bionic,12,64,Android 11,5000,5062,4989,10.6,706,40,9.3,17.2,93,7.8,Mixed,129h,Li-Po,Yes,102,43,65,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,10,Yes,91,230,30.4,487.0,18.2,Yes,No,0.21,3.52,0.0021,90
OnePlus,OnePlus Pro9,2021,Budget,693.67,6.7,Apple A16 Bionic,8,128,iOS 15,6000,6078,5901,16.2,627,22,16.6,10.8,88,3.5,Mixed,130h,Li-Ion,No,94,50,10,Warp Charge,No,,No,20,No,93,422,30.5,555.7,15.6,No,No,0.31,6.65,0.0027,144
Samsung,Samsung X24,2018,Midrange,804.41,6.0,MediaTek Dimensity 9200,8,256,Android 12,3000,3047,2946,5.7,336,40,9.7,9.4,98,4.1,Idle,126h,Li-Po,No,83,42,33,VOOC,Yes,VOOC,No,0,No,92,478,34.7,304.6,6.4,Yes,No,0.22,5.83,0.0019,60
Motorola,Motorola X11,2019,Flagship,613.88,6.0,Apple A16 Bionic,16,128,Android 13,4500,4544,4456,8.0,391,35,19.1,12.0,72,5.2,Idle,81h,Li-Ion,No,91,50,10,Turbo Charge,No,,Yes,20,No,92,337,41.6,466.6,15.1,Yes,No,0.28,4.48,0.0018,120
Apple,Apple A6,2018,Midrange,555.73,6.1,Exynos 2100,16,64,iOS 17,6000,6077,5943,16.1,507,24,9.5,11.7,89,9.8,Video,113h,Li-Po,No,85,18,18,Fast Charge,Yes,Fast Charge,No,15,No,89,474,31.7,313.3,18.3,No,Yes,0.17,3.46,0.0027,60
Samsung,Samsung X9,2019,Budget,1257.48,5.5,Snapdragon 778G,12,128,iOS 15,6000,6081,5987,11.2,469,18,12.7,12.7,89,6.8,Gaming,118h,Li-Po,No,90,49,33,Fast Charge,Yes,Fast Charge,No,20,No,94,253,32.2,381.6,5.2,No,No,0.25,5.89,0.0019,144
Asus,Asus A15,2019,Flagship,1445.09,6.0,Snapdragon 8 Gen 1,12,512,Android 12,3000,3072,2991,9.0,361,37,10.2,14.1,98,8.1,Mixed,118h,Li-Po,No,113,34,65,Fast Charge,Yes,Fast Charge,No,5,Yes,95,311,35.8,356.3,17.6,No,No,0.29,6.98,0.003,90
Xiaomi,Xiaomi X26,2020,Flagship,412.78,6.8,Exynos 2100,8,64,Android 12,3000,3058,2930,15.8,538,26,9.0,14.6,87,4.1,Idle,108h,Li-Po,Yes,115,56,33,Quick Charge 4.0,Yes,Quick Charge 4.0,No,15,Yes,99,148,32.6,456.8,6.6,Yes,Yes,0.25,3.23,0.0053,60
Xiaomi,Xiaomi A3,2021,Budget,821.41,6.5,Snapdragon 8 Gen 1,6,128,iOS 16,5000,5031,4971,15.6,405,21,12.3,12.5,52,6.3,Video,110h,Li-Ion,No,32,48,10,SuperVOOC,No,,No,5,Yes,88,77,34.0,546.1,16.1,No,Yes,0.32,3.5,0.0031,90
Oppo,Oppo S13,2020,Budget,285.44,6.7,Apple A15 Bionic,4,64,iOS 15,4500,4532,4436,10.1,604,23,20.0,12.3,51,5.7,Video,116h,Li-Po,No,104,30,10,Fast Charge,No,,Yes,10,No,96,513,33.5,305.9,19.0,Yes,Yes,0.36,5.02,0.0022,144
Realme,Realme S8,2020,Midrange,278.34,6.0,MediaTek Dimensity 9200,8,64,Android 11,5000,5075,4904,6.5,778,19,17.0,12.8,52,5.4,Mixed,106h,Li-Po,Yes,97,30,33,Fast Charge,Yes,Fast Charge,Yes,10,No,90,479,31.5,359.3,11.4,No,No,0.34,3.26,0.0013,120
Asus,Asus A15,2021,Midrange,648.57,5.5,Snapdragon 778G,12,128,Android 12,5000,5058,4945,10.9,747,37,12.6,8.6,58,3.5,Gaming,109h,Li-Ion,No,57,43,120,Turbo Charge,Yes,Turbo Charge,Yes,0,No,86,399,41.0,270.7,19.6,Yes,No,0.28,2.84,0.0022,90
Apple,Apple S6,2022,Flagship,332.83,6.7,Exynos 2100,16,512,iOS 15,3000,3016,2913,10.5,530,22,12.0,9.2,97,8.8,Browsing,97h,Li-Po,Yes,40,48,33,SuperVOOC,Yes,SuperVOOC,Yes,0,No,94,469,38.0,463.5,7.4,No,Yes,0.28,4.71,0.0035,144
OnePlus,OnePlus Pro2,2019,Budget,180.68,6.8,Snapdragon 8 Gen 1,6,256,Android 12,4000,4012,3996,15.9,366,22,16.9,12.6,55,7.9,Gaming,99h,Li-Ion,No,120,32,10,Turbo Charge,No,,No,10,No,96,241,43.4,469.5,18.1,Yes,No,0.31,3.41,0.004,60
Xiaomi,Xiaomi S2,2019,Flagship,1248.23,6.1,MediaTek Dimensity 9200,6,256,Android 12,6000,6079,5904,9.2,676,23,14.3,15.3,84,6.5,Browsing,116h,Li-Po,Yes,118,49,25,Fast Charge,Yes,Fast Charge,No,20,No,97,256,37.6,590.1,9.4,Yes,Yes,0.35,5.09,0.0015,120
Asus,Asus S8,2024,Flagship,1331.72,6.5,Tensor G2,8,256,iOS 17,4000,4070,3971,15.1,382,31,14.5,16.0,72,8.6,Idle,90h,Li-Po,No,53,60,65,Fast Charge,Yes,Fast Charge,No,10,No,91,12,39.6,353.7,9.7,No,No,0.14,4.55,0.0038,60
Oppo,Oppo S15,2022,Midrange,1288.55,5.5,Snapdragon 778G,16,128,iOS 17,3000,3030,2911,9.9,764,28,18.2,13.4,66,3.2,Video,109h,Li-Ion,Yes,55,23,25,Quick Charge 4.0,Yes,Quick Charge 4.0,No,5,No,88,382,37.1,349.9,13.4,No,No,0.17,6.38,0.0033,60
Realme,Realme Note21,2019,Budget,166.64,6.4,Tensor G2,4,64,Android 11,6000,6013,5959,11.6,551,25,19.9,13.5,64,4.5,Video,114h,Li-Ion,No,83,55,10,VOOC,No,,No,15,Yes,90,405,36.1,523.3,7.5,Yes,No,0.12,4.0,0.0019,120
Samsung,Samsung S15,2019,Midrange,538.61,6.0,Exynos 2100,12,512,iOS 15,3500,3506,3460,15.8,411,30,15.9,10.6,76,3.8,Video,86h,Li-Po,No,76,23,45,Fast Charge,Yes,Fast Charge,No,20,Yes,87,243,30.5,260.8,10.6,No,Yes,0.24,2.06,0.0045,144
Apple,Apple S7,2020,Midrange,782.87,6.4,Tensor G2,6,512,Android 14,4500,4533,4427,15.5,722,16,17.4,7.5,90,3.4,Video,98h,Li-Ion,No,103,52,33,Warp Charge,Yes,Warp Charge,No,0,Yes,92,299,34.7,208.4,5.8,No,Yes,0.26,5.39,0.0034,90
Asus,Asus X4,2019,Flagship,723.36,6.4,Snapdragon 778G,4,128,Android 11,4000,4020,3988,9.3,528,16,11.9,16.1,93,9.2,Mixed,90h,Li-Ion,No,58,38,45,SuperVOOC,Yes,SuperVOOC,Yes,5,No,98,328,33.2,561.5,6.8,Yes,Yes,0.18,6.28,0.0023,120
Realme,Realme Note7,2018,Midrange,772.57,5.5,Apple A16 Bionic,6,64,Android 11,4500,4591,4435,16.3,678,20,10.6,14.2,56,4.2,Mixed,94h,Li-Ion,Yes,117,33,18,Warp Charge,Yes,Warp Charge,Yes,0,Yes,95,327,37.7,548.4,5.7,Yes,No,0.34,2.35,0.0036,60
OnePlus,OnePlus Max15,2019,Budget,851.2,6.8,Exynos 2100,12,64,iOS 15,3500,3538,3427,10.5,783,22,19.5,14.7,84,6.7,Gaming,85h,Li-Ion,No,106,53,45,Turbo Charge,Yes,Turbo Charge,No,0,No,86,495,30.7,415.9,17.1,No,Yes,0.2,4.97,0.003,60
Motorola,Motorola Pro9,2022,Flagship,989.58,6.5,Apple A15 Bionic,16,256,Android 14,4500,4564,4487,9.6,764,34,15.4,15.4,86,5.0,Mixed,124h,Li-Ion,No,68,23,65,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,5,No,96,459,36.2,367.0,16.2,Yes,Yes,0.21,3.18,0.0021,60
Google,Google A27,2019,Budget,1128.96,5.5,Snapdragon 8 Gen 1,16,512,iOS 16,3000,3062,2986,8.0,798,18,18.1,17.9,59,3.8,Video,121h,Li-Po,Yes,86,22,45,Quick Charge 4.0,Yes,Quick Charge 4.0,No,0,No,94,222,39.0,335.4,16.3,No,No,0.37,7.63,0.0027,90
Motorola,Motorola Note20,2021,Budget,842.63,5.5,Tensor G2,6,256,iOS 17,3000,3068,2948,5.3,469,28,10.7,11.7,51,9.2,Mixed,95h,Li-Ion,No,101,33,120,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,20,Yes,85,459,44.7,218.4,12.5,No,No,0.17,6.0,0.0018,144
Realme,Realme Note10,2020,Midrange,1047.45,6.7,Snapdragon 778G,4,512,Android 12,4000,4094,3982,7.5,665,18,14.8,8.2,72,6.0,Gaming,83h,Li-Ion,No,102,60,25,Quick Charge 4.0,Yes,Quick Charge 4.0,No,10,No,94,24,41.2,487.8,10.8,No,Yes,0.18,7.71,0.0019,144
Motorola,Motorola Note7,2020,Midrange,1225.26,6.8,MediaTek Dimensity 9200,6,256,iOS 16,5000,5090,4986,10.0,332,24,9.7,12.7,62,3.8,Browsing,80h,Li-Po,No,94,40,45,Quick Charge 4.0,Yes,Quick Charge 4.0,No,20,Yes,91,561,41.2,238.1,8.5,Yes,No,0.16,4.11,0.002,60
Samsung,Samsung Note9,2023,Flagship,1017.82,6.8,Snapdragon 778G,6,64,iOS 17,3500,3551,3460,12.2,373,27,16.5,10.5,74,6.4,Idle,126h,Li-Po,Yes,60,18,18,SuperVOOC,Yes,SuperVOOC,Yes,15,Yes,88,474,34.0,261.9,5.8,Yes,No,0.16,4.37,0.0035,60
Samsung,Samsung Note12,2019,Budget,972.6,6.5,MediaTek Dimensity 9200,6,512,iOS 15,3500,3524,3455,5.6,420,39,12.2,11.3,98,5.8,Browsing,117h,Li-Po,No,40,21,18,Fast Charge,Yes,Fast Charge,Yes,20,No,97,510,42.9,348.0,11.1,No,No,0.16,7.62,0.0016,120
OnePlus,OnePlus Max16,2021,Flagship,1361.64,6.5,MediaTek Dimensity 9200,6,512,Android 14,6000,6035,5941,8.6,492,17,13.6,7.6,59,8.0,Video,92h,Li-Ion,Yes,97,48,45,Turbo Charge,Yes,Turbo Charge,Yes,10,Yes,95,564,33.0,595.5,17.4,No,Yes,0.21,5.16,0.0014,90
Vivo,Vivo A12,2020,Flagship,1045.91,6.4,Snapdragon 778G,8,64,Android 14,5000,5099,4912,6.5,754,21,17.5,15.1,87,5.4,Browsing,91h,Li-Po,No,65,56,65,Turbo Charge,Yes,Turbo Charge,Yes,20,No,95,149,44.3,233.1,9.1,Yes,No,0.2,5.2,0.0013,144
Vivo,Vivo Max27,2021,Flagship,1076.47,5.5,Snapdragon 778G,6,512,Android 14,4500,4590,4403,8.3,645,15,13.3,8.9,59,6.6,Video,121h,Li-Po,No,105,48,33,Turbo Charge,Yes,Turbo Charge,No,20,No,95,529,44.2,256.0,5.2,No,No,0.19,6.61,0.0018,90
Asus,Asus Pro6,2020,Flagship,256.36,6.7,Snapdragon 8 Gen 1,6,128,iOS 15,4000,4074,3918,5.9,451,28,16.5,8.8,78,6.3,Browsing,91h,Li-Ion,Yes,56,30,65,Quick Charge 4.0,Yes,Quick Charge 4.0,No,15,No,90,286,44.2,513.8,16.3,No,Yes,0.37,5.75,0.0015,90
OnePlus,OnePlus S3,2023,Budget,990.08,6.0,Apple A16 Bionic,16,128,Android 14,3000,3078,2982,8.1,694,18,18.0,13.8,61,8.8,Browsing,99h,Li-Po,No,39,45,18,SuperVOOC,Yes,SuperVOOC,Yes,5,No,86,459,39.4,258.3,19.3,Yes,Yes,0.11,4.58,0.0027,120
Xiaomi,Xiaomi S23,2020,Midrange,1299.9,6.0,MediaTek Dimensity 9200,6,256,Android 12,3000,3009,2928,17.2,792,37,12.3,10.6,98,3.4,Gaming,125h,Li-Po,No,79,20,25,Warp Charge,Yes,Warp Charge,Yes,10,Yes,90,325,36.9,242.5,9.3,Yes,No,0.39,3.2,0.0057,60
Vivo,Vivo Max2,2021,Midrange,148.25,6.1,Apple A15 Bionic,4,512,iOS 15,3000,3010,2937,11.4,570,27,17.6,7.2,80,7.4,Gaming,91h,Li-Po,No,109,49,120,VOOC,Yes,VOOC,Yes,5,No,91,439,36.9,323.2,8.4,Yes,No,0.18,6.83,0.0038,90
Asus,Asus Max18,2022,Flagship,135.71,6.1,Apple A15 Bionic,12,512,Android 14,4500,4570,4405,9.5,306,16,10.2,10.0,56,8.1,Browsing,111h,Li-Ion,Yes,69,25,10,Quick Charge 4.0,No,,Yes,15,Yes,96,97,33.9,321.0,5.2,No,Yes,0.12,5.88,0.0021,90
Google,Google X18,2020,Flagship,272.58,6.4,Snapdragon 8 Gen 1,8,512,Android 11,4500,4508,4463,14.4,693,35,13.3,16.8,85,3.4,Video,117h,Li-Ion,Yes,96,35,18,Warp Charge,Yes,Warp Charge,Yes,0,Yes,95,67,32.4,577.3,6.6,Yes,Yes,0.21,3.13,0.0032,90
Asus,Asus Pro27,2022,Flagship,359.53,6.4,Snapdragon 778G,4,128,Android 14,3500,3562,3476,11.8,669,26,8.5,14.7,98,6.9,Idle,97h,Li-Ion,No,84,28,33,VOOC,Yes,VOOC,No,0,No,100,98,39.1,438.6,6.2,No,No,0.22,4.88,0.0034,60
Vivo,Vivo A10,2020,Midrange,391.42,6.1,Apple A16 Bionic,6,64,iOS 15,5000,5023,4971,13.1,798,16,12.0,17.0,54,9.0,Mixed,94h,Li-Po,Yes,109,34,65,Fast Charge,Yes,Fast Charge,No,5,No,99,291,41.0,455.8,19.5,Yes,Yes,0.12,2.48,0.0026,60
Samsung,Samsung Note25,2020,Budget,1462.16,6.5,MediaTek Dimensity 9200,8,256,iOS 16,4000,4048,3935,6.5,314,37,16.6,14.1,71,8.8,Video,109h,Li-Po,Yes,70,54,120,Warp Charge,Yes,Warp Charge,Yes,15,No,89,176,38.1,593.9,11.2,Yes,Yes,0.16,5.35,0.0016,60
Oppo,Oppo X17,2022,Flagship,1174.42,6.8,Exynos 2100,12,256,iOS 17,4000,4016,3968,7.8,509,36,8.4,9.7,83,6.8,Video,92h,Li-Ion,No,114,32,45,Warp Charge,Yes,Warp Charge,Yes,15,No,90,38,34.0,537.7,13.6,No,No,0.18,7.36,0.0019,60
Realme,Realme X17,2019,Budget,1350.58,6.0,Apple A15 Bionic,4,128,Android 11,5000,5054,4911,15.1,669,31,16.1,15.1,78,5.1,Browsing,90h,Li-Po,No,41,56,45,SuperVOOC,Yes,SuperVOOC,No,5,No,98,409,43.4,499.1,9.1,No,No,0.35,6.47,0.003,60
Xiaomi,Xiaomi S24,2018,Budget,352.6,6.8,MediaTek Dimensity 9200,4,64,iOS 17,5000,5098,4978,10.6,792,18,16.4,17.5,61,5.8,Gaming,105h,Li-Ion,Yes,109,34,45,SuperVOOC,Yes,SuperVOOC,Yes,20,Yes,97,206,40.8,520.5,12.6,No,Yes,0.23,2.99,0.0021,60
OnePlus,OnePlus S25,2019,Midrange,796.27,6.7,Apple A16 Bionic,8,256,Android 13,4000,4039,3909,12.4,702,17,19.3,16.0,97,7.0,Gaming,83h,Li-Ion,Yes,44,35,25,VOOC,Yes,VOOC,No,20,No,85,99,44.3,495.6,5.6,No,No,0.34,3.67,0.0031,144
